2018-07-02 11:07:57 JST LOG:  データベースシステムは中断されました: 今回は 2018-06-29 16:04:47 JST までは到達しています
2018-07-02 11:07:58 JST FATAL:  データベースシステムは起動しています
2018-07-02 11:07:59 JST FATAL:  データベースシステムは起動しています
2018-07-02 11:08:00 JST FATAL:  データベースシステムは起動しています
2018-07-02 11:08:02 JST FATAL:  データベースシステムは起動しています
2018-07-02 11:08:02 JST LOG:  データベースシステムは適切にシャットダウンされませんでした。自動リカバリを行っています
2018-07-02 11:08:02 JST LOG:  invalid record length at 0/1500158: wanted 24, got 0
2018-07-02 11:08:02 JST LOG:  REDOは必要ありません
2018-07-02 11:08:02 JST LOG:  MultiXact member wraparound protections are now enabled
2018-07-02 11:08:02 JST LOG:  データベースシステムの接続受付準備が整いました。
2018-07-02 11:08:02 JST LOG:  自動バキュームランチャプロセス
