2018-12-05 09:11:50 JST LOG:  データベースシステムは中断されました: 今回は 2018-11-30 08:56:12 JST までは到達しています
2018-12-05 09:11:55 JST LOG:  データベースシステムは適切にシャットダウンされませんでした。自動リカバリを行っています
2018-12-05 09:11:55 JST LOG:  invalid record length at 0/151EC20: wanted 24, got 0
2018-12-05 09:11:55 JST LOG:  REDOは必要ありません
2018-12-05 09:11:55 JST LOG:  MultiXact member wraparound protections are now enabled
2018-12-05 09:11:55 JST LOG:  データベースシステムの接続受付準備が整いました。
2018-12-05 09:11:56 JST LOG:  自動バキュームランチャプロセス
2018-12-05 09:14:41 JST LOG:  高速シャットダウン要求を受け取りました
2018-12-05 09:14:41 JST LOG:  活動中の全トランザクションをアボートしています
2018-12-05 09:14:41 JST ERROR:  ユーザからの要求により文をキャンセルしています
2018-12-05 09:14:41 JST LOG:  自動バキュームランチャを停止しています
2018-12-05 09:14:41 JST LOG:  シャットダウンしています
2018-12-05 09:14:41 JST LOG:  データベースシステムはシャットダウンしました
