2018-04-05 14:55:39 JST LOG:  データベースシステムは中断されました: 今回は 2018-04-04 08:53:03 JST までは到達しています
2018-04-05 14:55:39 JST FATAL:  データベースシステムは起動しています
2018-04-05 14:55:41 JST FATAL:  データベースシステムは起動しています
2018-04-05 14:55:42 JST LOG:  データベースシステムは適切にシャットダウンされませんでした。自動リカバリを行っています
2018-04-05 14:55:42 JST LOG:  invalid record length at 0/14FF8F0: wanted 24, got 0
2018-04-05 14:55:42 JST LOG:  REDOは必要ありません
2018-04-05 14:55:42 JST LOG:  MultiXact member wraparound protections are now enabled
2018-04-05 14:55:42 JST LOG:  データベースシステムの接続受付準備が整いました。
2018-04-05 14:55:42 JST LOG:  自動バキュームランチャプロセス
