2018-12-29 14:49:54 JST LOG:  データベースシステムは中断されました: 今回は 2018-12-29 14:49:00 JST までは到達しています
2018-12-29 14:49:55 JST LOG:  データベースシステムは適切にシャットダウンされませんでした。自動リカバリを行っています
2018-12-29 14:49:55 JST LOG:  invalid record length at 0/151EFA0: wanted 24, got 0
2018-12-29 14:49:55 JST LOG:  REDOは必要ありません
2018-12-29 14:49:55 JST LOG:  MultiXact member wraparound protections are now enabled
2018-12-29 14:49:55 JST LOG:  データベースシステムの接続受付準備が整いました。
2018-12-29 14:49:55 JST LOG:  自動バキュームランチャプロセス
2018-12-29 15:29:19 JST LOG:  繧ｯ繝ｩ繧､繧｢繝ｳ繝医°繧峨ョ繝ｼ繧ｿ繧貞女菫｡縺ｧ縺阪∪縺帙ｓ縺ｧ縺励◆: An existing connection was forcibly closed by the remote host.
	
2018-12-29 19:47:43 JST LOG:  繧ｯ繝ｩ繧､繧｢繝ｳ繝医°繧峨ョ繝ｼ繧ｿ繧貞女菫｡縺ｧ縺阪∪縺帙ｓ縺ｧ縺励◆: An existing connection was forcibly closed by the remote host.
	
2018-12-29 20:11:15 JST LOG:  高速シャットダウン要求を受け取りました
2018-12-29 20:11:15 JST LOG:  活動中の全トランザクションをアボートしています
2018-12-29 20:11:15 JST LOG:  自動バキュームランチャを停止しています
2018-12-29 20:11:15 JST LOG:  シャットダウンしています
2018-12-29 20:11:15 JST LOG:  データベースシステムはシャットダウンしました
