2018-07-11 17:11:27 JST LOG:  データベースシステムは中断されました: 今回は 2018-07-02 11:08:02 JST までは到達しています
2018-07-11 17:11:27 JST FATAL:  データベースシステムは起動しています
2018-07-11 17:11:29 JST FATAL:  データベースシステムは起動しています
2018-07-11 17:11:31 JST FATAL:  データベースシステムは起動しています
2018-07-11 17:11:31 JST LOG:  データベースシステムは適切にシャットダウンされませんでした。自動リカバリを行っています
2018-07-11 17:11:31 JST LOG:  invalid record length at 0/15001C8: wanted 24, got 0
2018-07-11 17:11:31 JST LOG:  REDOは必要ありません
2018-07-11 17:11:31 JST LOG:  MultiXact member wraparound protections are now enabled
2018-07-11 17:11:31 JST LOG:  データベースシステムの接続受付準備が整いました。
2018-07-11 17:11:31 JST LOG:  自動バキュームランチャプロセス
