2018-07-13 12:36:56 JST LOG:  データベースシステムは中断されました: 今回は 2018-07-11 17:11:31 JST までは到達しています
2018-07-13 12:36:56 JST FATAL:  データベースシステムは起動しています
2018-07-13 12:36:58 JST FATAL:  データベースシステムは起動しています
2018-07-13 12:36:58 JST LOG:  データベースシステムは適切にシャットダウンされませんでした。自動リカバリを行っています
2018-07-13 12:36:58 JST LOG:  invalid record length at 0/1500238: wanted 24, got 0
2018-07-13 12:36:58 JST LOG:  REDOは必要ありません
2018-07-13 12:36:58 JST LOG:  MultiXact member wraparound protections are now enabled
2018-07-13 12:36:59 JST LOG:  データベースシステムの接続受付準備が整いました。
2018-07-13 12:36:59 JST LOG:  自動バキュームランチャプロセス
