2018-04-02 08:48:56 JST LOG:  データベースシステムは中断されました: 今回は 2018-03-23 10:18:22 JST までは到達しています
2018-04-02 08:48:57 JST FATAL:  データベースシステムは起動しています
2018-04-02 08:48:59 JST FATAL:  データベースシステムは起動しています
2018-04-02 08:48:59 JST LOG:  データベースシステムは適切にシャットダウンされませんでした。自動リカバリを行っています
2018-04-02 08:48:59 JST LOG:  invalid record length at 0/14FF810: wanted 24, got 0
2018-04-02 08:48:59 JST LOG:  REDOは必要ありません
2018-04-02 08:48:59 JST LOG:  MultiXact member wraparound protections are now enabled
2018-04-02 08:48:59 JST LOG:  データベースシステムの接続受付準備が整いました。
2018-04-02 08:49:00 JST LOG:  自動バキュームランチャプロセス
