2018-08-13 08:50:52 JST LOG:  データベースシステムは中断されました: 今回は 2018-08-09 16:37:53 JST までは到達しています
2018-08-13 08:50:52 JST FATAL:  データベースシステムは起動しています
2018-08-13 08:50:54 JST FATAL:  データベースシステムは起動しています
2018-08-13 08:50:55 JST FATAL:  データベースシステムは起動しています
2018-08-13 08:50:57 JST LOG:  データベースシステムは適切にシャットダウンされませんでした。自動リカバリを行っています
2018-08-13 08:50:57 JST LOG:  invalid record length at 0/1500628: wanted 24, got 0
2018-08-13 08:50:57 JST LOG:  REDOは必要ありません
2018-08-13 08:50:57 JST LOG:  MultiXact member wraparound protections are now enabled
2018-08-13 08:50:57 JST FATAL:  データベースシステムは起動しています
2018-08-13 08:50:57 JST LOG:  データベースシステムの接続受付準備が整いました。
2018-08-13 08:50:57 JST LOG:  自動バキュームランチャプロセス
