2018-12-26 08:50:37 JST LOG:  データベースシステムは中断されました: 今回は 2018-12-21 08:51:29 JST までは到達しています
2018-12-26 08:51:00 JST LOG:  データベースシステムは適切にシャットダウンされませんでした。自動リカバリを行っています
2018-12-26 08:51:00 JST LOG:  invalid record length at 0/151ED70: wanted 24, got 0
2018-12-26 08:51:00 JST LOG:  REDOは必要ありません
2018-12-26 08:51:00 JST LOG:  MultiXact member wraparound protections are now enabled
2018-12-26 08:51:00 JST LOG:  データベースシステムの接続受付準備が整いました。
2018-12-26 08:51:01 JST LOG:  自動バキュームランチャプロセス
2018-12-26 08:53:14 JST LOG:  繧ｯ繝ｩ繧､繧｢繝ｳ繝医°繧峨ョ繝ｼ繧ｿ繧貞女菫｡縺ｧ縺阪∪縺帙ｓ縺ｧ縺励◆: An existing connection was forcibly closed by the remote host.
	
2018-12-26 09:13:51 JST LOG:  高速シャットダウン要求を受け取りました
2018-12-26 09:13:51 JST LOG:  活動中の全トランザクションをアボートしています
2018-12-26 09:13:51 JST LOG:  自動バキュームランチャを停止しています
2018-12-26 09:13:51 JST ERROR:  ユーザからの要求により文をキャンセルしています
2018-12-26 09:13:51 JST LOG:  自動バキュームランチャを停止しています
2018-12-26 09:13:51 JST LOG:  シャットダウンしています
2018-12-26 09:13:51 JST LOG:  データベースシステムはシャットダウンしました
